,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
0,ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404
1,ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819
2,ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919
3,ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183
4,ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447
5,ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018
6,ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052
7,ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862
8,ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717
9,ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603
10,ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
11,AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856
12,AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645
13,AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922
14,ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298
15,ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034
16,AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593
17,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
18,APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029
19,ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885
20,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
21,ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948
22,AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
23,AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181
24,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427
25,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206
26,BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323
27,BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838
28,BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677
29,BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961
30,BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814
31,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355
32,BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286
33,BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
34,BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372
35,BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753
36,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595
37,BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
38,BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278
39,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
40,BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
41,BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631
42,BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944
43,BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723
44,BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586
45,BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766
46,BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746
47,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963
48,BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031
49,BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
50,BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585
51,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
52,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301
53,CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954
54,CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247
55,CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858
56,CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765
57,CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653
58,CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379
59,CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286
60,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
61,CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087
62,CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239
63,CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873
64,CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494
65,CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382
66,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
67,CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188
68,CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806
69,CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906
70,CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484
71,COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238
72,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025
73,COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963
74,CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447
75,CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122
76,CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319
77,CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886
78,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217
79,CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678
